rice_network_30: 0:09:50.298615  f1_train: 0.9879789169714643  f1_test: 0.9892404028433439  f1_validation: 0.9883803379220033 
rice_network_18-15: 0:14:41.580034  f1_train: 0.9882536515883785  f1_test: 0.9905362872603606  f1_validation: 0.9894850916848528 
rice_network_16-13-10: 0:19:15.944758  f1_train: 0.9882569389357384  f1_test: 0.9892429928326965  f1_validation: 0.9911477077234911 
anuran_family_network_30: 0:03:41.787859  f1_train: 0.9960106140713789  f1_test: 0.9875403307095876  f1_validation: 0.9485498675755311 
anuran_family_network_18-15: 0:05:33.657737  f1_train: 0.9953698115827476  f1_test: 0.9551882723829801  f1_validation: 0.9338367379832713 
anuran_family_network_16-13-10: 0:08:14.181879  f1_train: 0.9980748918116262  f1_test: 0.9733545408958848  f1_validation: 0.9575507080354481 
anuran_genus_network_30: 0:03:41.791991  f1_train: 0.9896184879252157  f1_test: 0.967830652599796  f1_validation: 0.9537276453018819 
anuran_genus_network_18-15: 0:05:47.671839  f1_train: 0.8522844554229756  f1_test: 0.8075739524580137  f1_validation: 0.8375027889462665 
anuran_genus_network_16-13-10: 0:08:10.184284  f1_train: 0.9889171816058371  f1_test: 0.9375815683248498  f1_validation: 0.9358445087965424 
anuran_species_network_30: 0:03:49.156282  f1_train: 0.9951039547937606  f1_test: 0.9629214171552125  f1_validation: 0.9747050918698081 
anuran_species_network_18-15: 0:06:34.835027  f1_train: 0.982935462871119  f1_test: 0.9639605868285631  f1_validation: 0.9728851640555538 
anuran_species_network_16-13-10: 0:07:47.898350  f1_train: 0.9851736521147079  f1_test: 0.9495815055547949  f1_validation: 0.9485497512045737 
